faculty,degree,curriculum,docx_id,pdf_id,chunk1_start,chunk1_end,chunk2_start,chunk2_end,chunk3_start,chunk3_end,chunk4_start,chunk4_end
คณะสังคมสงเคราะห์ศาสตร์,ตรี,สังคมสงเคราะห์ศาสตรบัณฑิต (ปรับปรุง 2566) ศูนย์ลำปาง,1JxPQka2Gf0FqyiitHkGOJ6IWXIgUpyFJ,1209kgYFIGYXdIMgpMUxwEsrSuHypZPXl,1,10,10.0,24.0,26.0,32.0,67,82
คณะสังคมสงเคราะห์ศาสตร์,ตรี,ศศ.บ.นโยบายสังคมและการพัฒนา (นานาชาติ) (ปรับปรุง 2566),1lorchdahFI52VSvSvf4boaM3g4h5rJyl,18PKuRdpjXv9yI-8rY6VZaQ_0bl3kYda6,1,12,12.0,19.0,22.0,25.0,53,64
คณะสังคมสงเคราะห์ศาสตร์,ตรี,สังคมสงเคราะห์ศาสตรบัณฑิต (ปรับปรุง 2566) ศูนย์รังสิต,1vVENhTLJaKiToKoybj4nZgqrhEqSKoQO,1ovL-Cbss6XwI3fm42_Ggfp9llJhT64tJ,1,11,11.0,26.0,28.0,34.0,71,85
คณะพยาบาลศาสตร์,ตรี,พยาบาลศาสตรบัณฑิต (ปรับปรุง 66),1XORsVd_TlGxlPEOMghSPCOdSyvYDN4_i,1bnCEv_andCT_vhPXJh1v5LgDOOeKWAr5,1,20,20.0,27.0,,,63,71
คณะวิศวกรรมศาสตร์,ตรี,TEP วศ.บ.เครื่องกล 66,1110XJvn8QRfJL27RKgLsKrNHwFPvvXlp,1V2L-fba1sPcKEYK4c3uwrVGR4KHzpME5,1,8,8.0,18.0,21.0,88.0,90,101
คณะวิศวกรรมศาสตร์,ตรี,TEPE วศ.บ.เครื่องกลเเละการจัดการ 66,13MOdRfuBGrVHh-UG-74rHo-Kkm9NC-zt,1jsuScVHA9zZqVdzxlb6RGNez4aQ2UJ2f,1,8,8.0,22.0,29.0,69.0,71,81
คณะวิศวกรรมศาสตร์,ตรี,TEPE วศ.บ.โยธาเเละการพัฒนาอสังหาฯ 66,1Y3G9R6j4FrTeYq_B1BqVTvBiOlIg8yJ5,1ISRRR8f3qHH6OzD3QpjD2fHoB0J_EsFD,1,9,9.0,23.0,30.0,73.0,74,87
คณะวิศวกรรมศาสตร์,ตรี,TEPE วศ.บ.ไฟฟ้าเเละข้อมูล 66,1RujzHpdwVORdBaemuRHmuLZ6ZCuyNCz-,1XoZKkR5NnJNKWaqXHWsBfTllOOxnO6jv,1,8,8.0,22.0,30.0,82.0,84,95
คณะวิศวกรรมศาสตร์,ตรี,TU PINE วศ.บ ซอฟเเวร์ 68,1XrkhAPppNQaMV0lshLecP-Xc1W_MeNAd,1RDlQnEt0bAjnEbxxfK01-ir03xZGH4aK,1,9,9.0,16.0,21.0,41.0,43,55
คณะวิศวกรรมศาสตร์,ตรี,TEP วศ.บ. โยธา 66,1kwvyBXqqhr_V8IiaChczjKCw4pDNI3jD,1ZoxAVdmBXxuoiTErjExvi3QqzHA6qfTn,1,10,10.0,18.0,21.0,65.0,66,78
คณะวิศวกรรมศาสตร์,ตรี,TEPE วศ.บ. เคมีเเละการจัดการ 68,1sKeauwjoyDctvjJqHERZtG0ArXoX4yji,1l9XwFCPxhWxGvRchd3ojXwkz6vKLgbke,1,10,10.0,22.0,29.0,53.0,54,68
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมเคมี 66,,1TwjKu3Au4IOtZ7LL3pt3SqJkOyg0UXtm,1,11,11.0,21.0,27.0,70.0,71,82
คณะวิศวกรรมศาสตร์,ตรี,วศ.บ.วิศวกรรมคอม 66,122M5aGrdgKIb68RJvdKp8hDQ6OJwia7c,1j-DK9lhz-1QQBRUnBpG9dkXG0Rpu0Wgl,1,9,9.0,18.0,25.0,58.0,60,73
คณะวิศวกรรมศาสตร์,ตรี,TEP วศ.บ. เคมี 68,1vr8L1faQksydaUgBkbPtQ8NY8earQmxJ,1SiXDdFlVnSWjghJ4PSFTbX2F8QQLjobN,1,10,10.0,22.0,29.0,53.0,54,68
คณะวิศวกรรมศาสตร์,ตรี,TU PINE วศ.บ.โยธาเเละการบริหารการก่อสร้าง 68,1UslO2Zh1_UOa7Cg-D9Wa8iFV-RBs5Iv-,1-RdsdTrP_nqvciTUj8RHtyl3nXKxwRVG,1,9,9.0,17.0,23.0,51.0,53,64
