curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.ศศิธร ศรีมีชัย,วท.ม.,วิทยาศาสตร์สุขภาพ,มหาวิทยาลัยธรรมศาสตร์,2543
2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.สรรพัชญ์ ศิริสวัสดิ์,ปร.ด.,อาชีวอนามัยและอนามัยสิ่งแวดล้อม,มหาวิทยาลัยธรรมศาสตร์,2563
2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.สรรพัชญ์ ศิริสวัสดิ์,วท.ม.,อาชีวเวชศาสตร์,มหาวิทยาลัยขอนแก่น,2557
2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.สรรพัชญ์ ศิริสวัสดิ์,วท.บ.,อาชีวอนามัยและความปลอดภัย,มหาวิทยาลัยมหิดล,2554
2. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย  (ปรับปรุง 2566) ศูนย์รังสิต,อาจารย์,ชวินทร มัยยะภักดี,วท.ม.,วิศวกรรมความปลอดภัย,มหาวิทยาลัยเกษตรศาสตร์,2559
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.ศุภางค์ วัฒนเสย,ปร.ด.,สาธารณสุขศาสตรห,จุฬาลงกรณ์มหาวิทยาลัย,2559
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.ศุภางค์ วัฒนเสย,M.S.,Healthcare Administration (Management and change in healthcare),"California State University, USA",2554
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.ศุภางค์ วัฒนเสย,วท.บ.,สาธารณสุขศาสตร์ (จุลชีววิทยา),จุฬาลงกรณ์มหาวิทยาลัย,2550
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สุภา วิตตาภรณ์,ปร.ด.,สังคมศาสตร์การแพทย์และสาธารณสุข,มหาวิทยาลัยมหิดล,2556
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สุภา วิตตาภรณ์,ศศ.ม.,พัฒนาสังคม,มหาวิทยาลัยขอนแก่น,2547
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สุภา วิตตาภรณ์,วท.บ.,สาธารณสุขศาสตร์(อนามัยชุมชน),มหาวิทยาลัยมหิดล,2540
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),อาจารย์,ดร.พัชรินทร์ คํานวล,วท.ด.,ระบาดวิทยาคลินิก,มหาวิทยาลัยเชียงใหม่,2558
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),อาจารย์,ดร.พัชรินทร์ คํานวล,ส.ม.,สาธารณสุขศาสตร์,มหาวิทยาลัยนเรศวร,2547
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),อาจารย์,ดร.พัชรินทร์ คํานวล,ป.พย.,การพยาบาลและการผดุงครรภ์,วิทยาลัยพยาบาลบรมราชชนนีพะเยา,2544
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สยัมภู ใสทา,ปร.ด.,อายุรศาสตร์เขตร้อน,มหาวิทยาลัยมหิดล,2562
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สยัมภู ใสทา,วท.ม.,สาธารณสุขศาสตร์(การพัฒนาระบบสุขภาพชุมชน),มหาวิทยาลัยมหิดล,2558
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.สยัมภู ใสทา,วท.บ.,สาธารณสุขศาสตร์ (การสร้างเสริมสุขภาพ),มหาวิทยาลัยธรรมศาสตร์,2555
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.กษมา ภูสีสด,ปร.ด.,อายุรศาสตร์เขตร้อน,มหาวิทยาลัยมหิดล,2564
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.กษมา ภูสีสด,วท.ม.,สาธารณสุขศาสตร์ (โรคติดเชื้อและวิทยาการระบาด),มหาวิทยาลัยมหิดล,2556
6. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.กษมา ภูสีสด,วท.บ.,สาธารณสุขศาสตร์ (อนามัยชุมชน),มหาวิทยาลัยมหิดล,2553
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.น้ำฝน เอกตาแสง,Ph.D.,Informative Environmental Technology,"Konkuk University, Seoul, South Korea",2556
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.น้ำฝน เอกตาแสง,Ph.D.,EnvironmentalEngineering,"Konkuk University,Seoul, South Korea",2556
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.น้ำฝน เอกตาแสง,วท.ม.,วิศวกรรมสิ่งแวดล้อมและการจัดการ,สถาบันเทคโนโลยีแห่งเอเชีย,2552
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.น้ำฝน เอกตาแสง,วท.ม.,วิทยาศาสตร์สุขภาพ(อนามัยสิ่งแวดล้อม),มหาวิทยาลัยธรรมศาสตร์,2550
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.กาญจนา ช้างแก้ว,Ph.D.,Veterinary Medicine,"Hokkaido University, Japan",2558
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.กาญจนา ช้างแก้ว,วท.ม.,สาธารณสุขศาสตร์,มหาวิทยาลัยมหิดล,2553
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.กาญจนา ช้างแก้ว,วท.บ.,เทคนิคการสัตวแพทย์,มหาวิทยาลัยเกษตรศาสตร์,2548
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.มนพร วงศ์สุนทรชัย,ปร.ด.(โทควบเอก),เทคโนโลยีสิ่งแวดล้อม,มหาวิทยาลัยมหิดล,2558
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,ผู้ช่วยศาสตราจารย์,ดร.มนพร วงศ์สุนทรชัย,วท.บ.,วิทยาศาสตร์สิ่งแวดล้อม,มหาวิทยาลัยธรรมศาสตร์,2551
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,อาจารย์,ดร.บุษราคัม ฐิตานุวัฒน์,ปร.ด.(โทควบเอก),เทคโนโลยีสิ่งแวดล้อม,มหาวิทยาลัยมหิดล,2559
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,อาจารย์,ดร.บุษราคัม ฐิตานุวัฒน์,วท.บ.,สาธารณสุขศาสตร์(อนามัยสิ่งแวดล้อม),มหาวิทยาลัยธรรมศาสตร์,2554
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,อาจารย์,วิยะดา นิลกาญจนกุล,วท.ม.,สุขาภิบาลสิ่งแวดล้อม,มหาวิทยาลัยมหิดล,2559
4. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์รังสิต,อาจารย์,วิยะดา นิลกาญจนกุล,วท.บ.,สาธารณสุขศาสตร์(อนามัยสิ่งแวดล้อมและความปลอดภัย),มหาวิทยาลัยธรรมศาสตร์,2556
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พรรณทิสชา ธนตระกลศรี,ปร.ด.,เทคโนโลยีสิ่งแวดล้อม,มหาวิทยาลัยมหิดล,2559
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พรรณทิสชา ธนตระกลศรี,วท.ม.,วิศวกรรมสิ่งแวดล้อม,มหาวิทยาลัยมหิดล,2555
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พรรณทิสชา ธนตระกลศรี,ส.บ.,สาธารณสุขศาสตร์(วิทยาศาสตร์อนามัยสิ่งแวดล้อม),มหาวิทยาลัยสุโขทัยธรรมาธิราช,2553
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พรรณทิสชา ธนตระกลศรี,วท.บ.,วิทยาศาสตร์สิ่งแวดล้อม,มหาวิทยาลัยขอนแก่น,2550
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,วีร์ราภัสสร์ ณ ร้อยเอ็ด,วศ.ม.,วิศวกรรมสิ่งแวดล้อม,มหาวิทยาลัยเกษรศาสตร์,2551
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,วีร์ราภัสสร์ ณ ร้อยเอ็ด,วท.บ.,สาธารณสุขศาสตร์(วิทยาศาสตร์อนามัยสิ่งแวดล้อม),มหาวิทยาลัยมหิดล,2548
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ญาณสินี สุมา,Ph.D.,Informative Environmental Technology,"Konkuk University in Seoul, Korea",2556
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ญาณสินี สุมา,วท.ม.,วิศวกรรมการจัดการสิ่งแวดล้อม,สถาบันเทคโนโลยีแห่งเอเชีย,2552
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ญาณสินี สุมา,วท.บ.,สาธารณสุขศาสตร์(วิทยาศาสตร์อนามัยสิ่งแวดล้อม),มหาวิทยาลัยมหิดล,2550
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ประดับดวง เกียรติศักดิ์ศิริ,ปร.ด.,การจัดการสิ่งแวดล้อม,จุฬาลงกรณ์มหาวิทยาลัย,2560
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ประดับดวง เกียรติศักดิ์ศิริ,วท.ม.,การจัดการสิ่งแวดล้อม,จุฬาลงกรณ์มหาวิทยาลัย,2552
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.ประดับดวง เกียรติศักดิ์ศิริ,วท.บ.,วิทยาศาสตร์สุขภาพ,มหาวิทยาลัยธรรมศาสตร์,2550
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.เดือนเพ็ญ ศิริเถียร,ปร.ด.(โทควบเอก),เทคโนโลยีสิ่งแวดล้อม(หลักสูตรนานาชาติ),มหาวิทยาลัยมหิดล,2561
5. วิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.เดือนเพ็ญ ศิริเถียร,วท.บ.,สาธารณสุขศาสตร์,มหาวิทยาลัยธรรมศาสตร์,2556
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ณัฐกรณ์ ชูช่วย,ปร.ด.,อาชีวอนามัยและความปลอดภัย,มหาวิทยาลัยมหิดล,2562
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ณัฐกรณ์ ชูช่วย,วท.ม.,อาชีวอนามัยและความปลอดภัย,มหาวิทยาลัยมหิดล,2558
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ณัฐกรณ์ ชูช่วย,วท.บ.,สาธารณสุขศาสตร์,มหาวิทยาลัยธรรมศาสตร์,2555
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ธนิกา ติงสะ,วท.ม.,สุขศาสตร์อุตสาหกรรมและความปลอดภัย,มหาวิทยาลัยมหิดล,2550
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ธนิกา ติงสะ,วท.บ.,วิทยาศาสตร์สุขภาพ,มหาวิทยาลัยธรรมศาสตร์,2547
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พัชร์สิริ ศรีเวียง,ปร.ด.,อาชีวอนามัยและอนามัยสิ่งแวดล้อม,มหาวิทยาลัยธรรมศาสตร์,2564
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พัชร์สิริ ศรีเวียง,วท.ม.,สุขศาสตร์อุตสาหกรรมและความปลอดภัย,มหาวิทยาลัยมหิดล,2551
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,ผู้ช่วยศาสตราจารย์,ดร.พัชร์สิริ ศรีเวียง,วท.บ.,วิทยาศาสตร์สิ่งแวดล้อม,มหาวิทยาลัยธรรมศาสตร์,2548
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ชัยวัฒน์ เผดิมรอด,วท.ด.,การใช้ที่ดินและการจัดการทรัพยากรธรรมชาติอย่างยั่งยืน,มหาวิทยาลัยเชียงใหม่,2558
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ชัยวัฒน์ เผดิมรอด,วท.ม.,การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,มหาวิทยาลัยนเรศวร,2548
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร.ชัยวัฒน์ เผดิมรอด,วท.บ.,สาธารณสุขศาสตร์ (อาชีวอนามัยและความปลอดภัย),มหาวิทยาลัยมหิดล,2541
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร. ทวีสุข พันธุ์เพ็ง,D.Sc.,Industrial Hygiene,"University of Pittsburgh, USA",2524
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร. ทวีสุข พันธุ์เพ็ง,M.Sc.,Industrial Hygiene,"University of Pittsburgh, USA",2519
3. วิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย (ปรับปรุง 2566) ศูนย์ลำปาง,อาจารย์,ดร. ทวีสุข พันธุ์เพ็ง,วท.บ.,อาชีวอนามัย,มหาวิทยาลัยมหิดล,2515
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),อาจารย์,ดร. พีระพล รัตนะ,ปร.ด.,ประชากรและการพัฒนา,สถาบันบัณฑิตพัฒนบริหารศาสตร์,2553
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),อาจารย์,ดร. พีระพล รัตนะ,วท.ม.,สาธารณสุขศาสตร์,,
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),อาจารย์,ดร. พีระพล รัตนะ,ส.บ.,สาธารณสุขศาสตร์,,
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร. วรรณรัตน์ รัตนวรางค์,ปร.ด.,ประชากรศาสตร์,มหาวิทยาลัยมหิดล,2545
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร. วรรณรัตน์ รัตนวรางค์,นศ.ม.,นิเทศศาสตร์พัฒนาการ,จุฬาลงกรณ์มหาวิทยาลัย,2540
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร. วรรณรัตน์ รัตนวรางค์,นศ.บ.,วาทวิทยาและสื่อสารการแสดง,จุฬาลงกรณ์มหาวิทยาลัย,2534
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร. วรรณรัตน์ รัตนวรางค์,ส.บ.,สาธารณสุขศาสตร์,มหาวิทยาลัยสุโขทัยธรรมมาธิราช,2561
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.พรทิพย์ จอมพุก,Ph.D.,Epidemiology of Infectious Diseases,"University of London (LSHTM), UK",2547
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.พรทิพย์ จอมพุก,M.Sc.,Epidemiology,"University of London (LSHTM), UK",2541
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,ดร.พรทิพย์ จอมพุก,วท.บ.,อนามัยชุมชน,มหาวิทยาลัยมหิดล,2530
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,พ.ต.ต. หญิง ดร. คัติยา อีวาโนวิช,ส.ด.,โภชนาการสาธารณสุข,มหาวิทยาลัยมหิดล,2557
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,พ.ต.ต. หญิง ดร. คัติยา อีวาโนวิช,วท.ม.,สาธารณสุขศาสตร์,มหาวิทยาลัยมหิดล,2550
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,พ.ต.ต. หญิง ดร. คัติยา อีวาโนวิช,พย.บ.,พยาบาลและการผดุงครรภ์,จุฬาลงกรณ์มหาวิทยาลัย,2539
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,รณภูมิ สามัคคีคารมย์,ศศ.ม.,สังคมศาสตร์การแพทย์และสาธารณสุข,มหาวิทยาลัยมหิดล,2550
1. วิทยาศาสตรบัณฑิต สาขาวิชาการสร้างเสริมสุขภาพเชิงนวัตกรรม (ปรับปรุง 2568),ผู้ช่วยศาสตราจารย์,รณภูมิ สามัคคีคารมย์,วท.บ.,วิทยาศาสตร์สุขภาพ,มหาวิทยาลัยธรรมศาสตร์,2544
15. วท.บ.เทคโนโลยีการเกษตร,อาจารย์,ดร.แพรว เทียงพิมล,ปร.ด.,สัตวศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2565
15. วท.บ.เทคโนโลยีการเกษตร,อาจารย์,ดร.แพรว เทียงพิมล,วท.ม.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2554
15. วท.บ.เทคโนโลยีการเกษตร,อาจารย์,ดร.แพรว เทียงพิมล,วท.บ.,วิทยาศาสตร์เกษตร,มหาวิทยาลัยเกษตรศาสตร์,2551
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.วรภัทร วชิรยากรณ์,ปร.ด.,พืชสวน,มหาวิทยาลัยเกษตรศาสตร์,2560
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.วรภัทร วชิรยากรณ์,วท.ม.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2539
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.วรภัทร วชิรยากรณ์,วท.บ.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2536
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พฤกษ์ ชุติมานุกูล,Ph.D.,Bioresources Science,"Mie University, Japan",2559
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พฤกษ์ ชุติมานุกูล,M.Sc.,Bioresources Science,"Mie University, Japan",2556
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พฤกษ์ ชุติมานุกูล,วท.บ.,เทคโนโลยีการเกษตร,มหาวิทยาลัยเกษตรศาสตร์,2550
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.ดรุณี ศรีชนะ,Ph.D.,Animal Science,"University of Missouri, USA",2549
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.ดรุณี ศรีชนะ,วท.ม.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2536
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.ดรุณี ศรีชนะ,วท.บ.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2531
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.นิภารัตน์ ศรีธเรศ,Ph.D.,Animal Science,"Tokyo University of Agriculture, Japan",2545
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.นิภารัตน์ ศรีธเรศ,M.Sc.,Animal Science,"Tokyo University of Agriculture, Japan",2543
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.นิภารัตน์ ศรีธเรศ,วท.บ.,เทคโนโลยีการเกษตร,มหาวิทยาลัยธรรมศาสตร์,2538
15. วท.บ.เทคโนโลยีการเกษตร,อาจารย์,สพ.ญ.ณัฐา จริยภมรกุร,วท.ม.,เภสัชวิทยาทางสัตวแพทย์,จุฬาลงกรณ์มหาวิทยาลัย,2554
15. วท.บ.เทคโนโลยีการเกษตร,อาจารย์,สพ.ญ.ณัฐา จริยภมรกุร,สพ.บ.,สัตวแพทยศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2550
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พักตร์เพ็ญ ภูมิพันธ์,ปร.ด.,ปฐพีวิทยา,มหาวิทยาลัยเกษตรศาสตร์,2554
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พักตร์เพ็ญ ภูมิพันธ์,วท.ม.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2546
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.พักตร์เพ็ญ ภูมิพันธ์,วท.บ.,เกษตรศาสตร์,มหาวิทยาลัยเกษตรศาสตร์,2544
15. วท.บ.เทคโนโลยีการเกษตร,ผู้ช่วยศาสตราจารย์,ดร.อรประภา เทพศิลปวิสุทธิ์,Ph.D.,Bioresources Science,"Mie University, Japan",2555
